,Pension - Accumulated Benefit Obligation,Pension - Long-Term Asset,Pension Actual Return on Plan Assets,Pension Beginning Plan Assets,Pension Employer Contribution,Employer Contributions - Expected Next Year,Pension - Current Liability,Pension Benefits Paid,Pension - Projected Benefit Obligation,Pension Plans - Interest Cost,Pension Plan Assets,Pension Plans - Other Periodic Cost Components (Net),Periodic Postretirement Benefit Cost (Net),Pension Plans - Rate of Compensation Increase,Pension Plans - Anticipated Long-Term Rate of Return on Plan Assets,Pension Plans - Return on Plan Assets (Expected),Pension Plans - Service Cost,Postretirement - Long-Term Asset,Post Retirement Actual Return on Plan Assets,Postretirement Benefit Asset,Postretirement Benefit Obligation,Postretirement Employer Contributions,Postretirement Interest Cost,Postretirement - Current Liability,Postretirement - Long-Term Liability,Postretirement Other Adjustments (Plan Assets),Postretirement Other Adjustments (Net Benefit Asset/Liability),Postretirement Net Total Other Costs,Postretirement Benefits Paid,Postretirement Participant Contributions,Postretirement Prior Service,Postretirement Service Cost,Global Company Key,Record_Date
40,146.9,0.0,9.6,88.6,11.1,0.0,0.0,3.6,149.4,4.6,82.8,8.9,-4.2,3.0,6.25,-5.8,5.5,51.4,15.6,51.4,48.0,0.0,1.3,0.0,0.0,0.0,-0.0892080745341601,-1.5,3.2,0.0,-18.609389578333904,0.9,1224,2021-09-30
41,96.2,0.0,-15.6,82.8,14.4,0.0,0.0,2.0,97.8,4.7,57.3,8.0,-4.2,3.0,6.75,-5.2,4.8,53.4,-14.3,53.4,29.9,0.0,1.4,0.0,0.0,0.0,-0.0892080745341601,-1.5,1.8,0.0,-18.609389578333904,1.1,1224,2022-09-30
42,3053.0,71.0,524.0,2575.0,383.0,0.0,8.0,125.0,3404.0,114.0,3357.0,37.0,-1.0,4.46,7.75,-206.0,69.0,0.0,76.0,-49.0,462.0,2.0,16.0,0.0,49.0,0.0,-2.0,4.0,25.0,0.0,3.0,5.0,1225,2019-12-31
43,3414.0,0.0,450.0,3357.0,9.0,0.0,9.0,132.0,3854.0,100.0,3684.0,72.0,-10.0,4.73,8.25,-264.0,89.0,0.0,60.0,-5.0,463.0,12.0,13.0,0.0,5.0,0.0,-24.0,0.0,27.0,0.0,3.0,6.0,1225,2020-12-31
44,3362.0,464.0,586.0,3684.0,8.0,0.0,9.0,137.0,3806.0,82.0,4141.0,83.0,-15.0,4.8,8.25,-287.0,102.0,49.0,55.0,49.0,440.0,-2.0,9.0,0.0,0.0,0.0,-65.0,0.0,22.0,0.0,3.0,6.0,1225,2021-12-31
45,2601.0,629.0,-579.0,4141.0,9.0,0.0,10.0,144.0,2906.0,96.0,3427.0,63.0,-16.0,4.8,8.25,-306.0,99.0,28.0,-98.0,28.0,344.0,4.0,10.0,0.0,0.0,0.0,-25.0,0.0,23.0,0.0,4.0,6.0,1225,2022-12-31
46,2400.0,49.0,429.0,1858.0,65.0,40.81427289719626,0.0,113.0,2602.0,89.0,2239.0,36.0,-0.725916288989603,3.775,4.875,-95.0,42.0,24.42853837924579,5.809931996748849,-169.91674436090227,129.0,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1230,2019-12-31
47,2800.0,51.0,383.0,2239.0,0.0,0.0,0.0,134.0,2934.0,75.0,2488.0,45.0,-0.725916288989603,2.225,4.375,-110.0,46.0,24.42853837924579,5.809931996748849,-169.91674436090227,138.0,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1230,2020-12-31
48,2700.0,92.0,224.0,2488.0,100.0,0.0,0.0,117.0,2758.0,56.0,2695.0,36.0,-0.725916288989603,2.2,4.25,-122.0,52.0,24.42853837924579,5.809931996748849,-169.91674436090227,125.0,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1230,2021-12-31
49,2000.0,55.0,-629.0,2695.0,0.0,0.0,0.0,172.0,2079.0,65.0,1894.0,7.0,-0.725916288989603,2.18,4.125,-128.0,45.0,24.42853837924579,5.809931996748849,-169.91674436090227,89.0,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1230,2022-12-31
